listing_id,business_name,category,address,city,state,zip,current_latitude,current_longitude,proposed_latitude,proposed_longitude,confidence,source_url,verification_notes,action
34fc2993-dbed-4d8f-8882-b05e7a4a3942,Pathway Travel Plaza,truck-stops,7746 GA-140,Adairsville,GA,30103,,,34.377800,-84.915700,low,https://www.tesla.com/findus/location/supercharger/AdairsvilleGAsupercharger,"manual geocode anchored to Tesla official supercharger coords at 7867 Adairsville Hwy (I-75 exit 306), adjacent/across from the plaza; No published coordinates found for 7746 itself (pilot/brand sites and all geocoder APIs are proxy-blocked in this session). Tesla publishes 34.377883,-84.915729 for 7867 Adairsville Hwy 'right off exit 306'; Pathway Travel Plaza (formerly Table 306) is confirmed at",manual-review
54d2b882-24b4-4c09-b2b8-98529c4e1af7,QuikTrip Travel Center #757,truck-stops,961 Hwy 140 NW,Adairsville,GA,30103,,,34.378000,-84.918000,low,https://www.iexitapp.com/business/QuikTrip/324558,"manual geocode at I-75 exit 306 / GA-140 interchange (west side); exit position derived from Tesla official coords + Love's/Buc-ee's exit-310 and Pilot exit-296 anchors; QT's own site and iExit/truckstopsandservices confirm store #757 at 961 Hwy 140 NW = I-75 exit 306, but locations.quiktrip.com is proxy-blocked and no directory published coordinates. A geocoded fuel-price dataset (github naman089",manual-review
58df3f57-bad8-4b31-8949-437e4c00a3b2,Adel Truck Plaza,truck-stops,1503 W 4th St,Adel,GA,31620,,,31.138574,-83.444919,medium,https://github.com/lokal-ninja/georgia/blob/master/data/cities/adel/piggly-wiggly.yml,"extrapolated along W 4th St (GA-37) from OSM address anchors (500 -> -83.42933, 714 -> -83.43298, 1221 -> -83.4406) to house number 1503 at I-75 exit 39; Address confirmed (CITGO directory URL, Yelp, TruckMap, Waze all give 1503 W 4th St, Adel GA 31620, I-75 exit 39). Conflicting geocodes: WhosOnFirst/SimpleGeo puts '1503 W 4th St' at 31.134378,-83.436166, which contradicts the street-numbering tr [AUDITED:wrong] The street-number extrapolation is refuted: Huddle House's official brand locator (huddlehouse.com/locations/ga/adel/1503-west-fourth-st/ — the restaurant inside the plaza, same ad",manual-review
38139280-d79e-4c84-8807-5831c72095a7,"CAT Scale — Adel Truck Plaza, Adel",cat-scales,1503 W 4th St,Adel,GA,31620,,,31.138574,-83.444919,high,https://www.allstays.com/truckstops-details/90451.php,"truck-stop directory POI point via web search; Adel Truck Plaza at I-75 exit 39 (GA-37/W 4th St interchange). Point sits at the exit 39 interchange, correct side for the plaza. A WhosOnFirst venue (Huddle House, same 1503 W 4th St address) geocodes ~900 m east at 31.134378,-83.436166 (likely street-interpolated); kept the truck-stop-directory point at the interchange. Single-source conflict noted, [AUDITED:confirmed] Promote medium->high: Huddle House official locator for 1503 West Fourth St (restaurant inside Adel Truck Plaza) gives 31.138438,-83.444989 — ~20 m from proposed 31.138574,-83.444",ready
f89415ea-400b-4f6a-954b-7e920013cf4a,A-1 Truck Stop,truck-stops,2005 North St,Ashburn,GA,31714,,,31.718580,-83.654590,low,https://github.com/whosonfirst-data/whosonfirst-data-venue-us-ga/blob/master/data/723/077/983/723077983.geojson,"nearest verified same-street neighbor anchor (1871 North St, WhosOnFirst 31.718579,-83.65459); A-1 at 2005 North St is slightly beyond toward I-75 exit 84; AllStays/ParkAdvisor confirm A-1 Truck Stop (Citgo) at 2005 North St, I-75 exit 84 (Hwy 159), Ashburn GA 31714, phone (229) 567-3000; parking described as 'across the road'. No source publishes coordinates for 2005 itself; point is the 1871 nei",manual-review
096dd2fe-80a1-441b-a700-dbea8e1455c2,America's Truck Stop,truck-stops,2100 Jonesboro Rd SE,Atlanta,GA,30315,,,33.698600,-84.375700,low,https://www.americastruckstop.com/,"extrapolated along Jonesboro Rd SE from verified anchors (USPS 1590 Jonesboro Rd SE 33.70915,-84.38112; business dataset 1805 Jonesboro Rd SE 33.704709,-84.378857); Business active (own site americastruckstop.com; truckparkingclub listing for 2100 Jonesboro Road Southeast 30315), but no source publishes coordinates and the business site is proxy-blocked. Extrapolation over ~300 house numbers on a ",manual-review
f1d1bc65-60ea-43df-87b4-266985431b30,Southern Tire Mart #165,tire-repair,4600 Fulton Industrial Blvd SW,Atlanta,GA,30336,,,33.760512,-84.536880,medium,https://dcontrol.com/profile/southern-tire-mart-XpH,"directory POI coords via web search snippet; Southern Tire Mart #165, 4600 Fulton Industrial Blvd SW. Point lies on the Fulton Industrial Blvd corridor (road nodes at 33.765,-84.5317 and 33.755,-84.5455 bracket it); slightly east of centerline, consistent with a large lot. Single source, no independent <150 m confirmation.",manual-review
61744d1b-3abe-4aed-bbcc-775321a08d5b,"CAT Scale — Pilot Travel Center #267, Byron",cat-scales,2965 Hwy 247C,Byron,GA,31008,,,32.612278,-83.744515,high,https://raw.githubusercontent.com/baxbergenut/fuelbot/master/all_locations.csv,"Pilot-network location dataset + independent scrape cross-check; Pilot #267 (I-75 exit 146). Pilot-derived dataset 32.61227799,-83.74451508 confirmed by RVUnicorn pilot-flying-j.csv 32.612766,-83.744558 (~60 m) and by findtruckservice-derived snippet (same value). CAT scale is on this host Pilot property. [AUDITED:confirmed] Independent OSM node 537306491 (lokal-ninja/georgia byron/pilot.yml): Pilot, 2965 Highway 247C, website locations.pilotflyingj.com/us/ga/byron — 32.61221,-83.74452, ~8 m from propo",ready
ef42e8a8-4ee1-4ece-a100-ba17bfe15200,Pilot Travel Center #267,truck-stops,2965 Highway 247C,Byron,GA,,,,32.612278,-83.744515,high,https://github.com/baxbergenut/fuelbot/blob/main/all_locations.csv,"Pilot Flying J location-API data (scraped dataset, store #267, phone/exit match) cross-checked against older official Pilot CSV; Current PFJ API dump: 32.61227799,-83.74451508 (I-75 Exit 146, phone 478-956-5316). Older official pilot_locations.csv (github adnmcq/geo, store 267): 32.612766,-83.744558 - agrees within ~55 m. Both trace to Pilot's own published data (locations.pilotflyingj.com itself  [AUDITED:confirmed] Independent OSM node 537306491 (Pilot, 2965 Highway 247C, Byron): 32.61221,-83.74452 — ~8 m from proposed. Exit 146 latitude verified (special concern): ~4.2 mi south of Byron/US-",ready
78e6f4ee-fc3b-4c79-8946-2f2bc602a54a,"CAT Scale — Love's Travel Stop #735, Calhoun",cat-scales,1081 Belwood Rd SE,Calhoun,GA,30701,,,34.443856,-84.915181,high,https://github.com/dsollberger/30DayMapChallenge/blob/master/2022/data/All_The_Places/loves.geojson,"alltheplaces scrape of loves.com + co-located POI cross-check; Love's #735 (I-75 exit 310). loves.com-scraped point 34.443856,-84.915181 confirmed by co-located Burger King at 1081 Belwood Rd SE (34.4433007,-84.9157337, ~75 m) and RVUnicorn loves.csv (34.442816,-84.915598, ~120 m). CAT scale on host Love's property.",ready
