listing_id,verified_lat,verified_lng,state
0f848a8a-9f2f-4e89-bed3-97d656bcd25d,34.273972,-84.807762,GA
15f5c84b-8284-455e-8928-c688f5a308ab,34.443856,-84.915181,GA
1e825644-fb2f-42c6-8bd1-e862fbbcdf40,30.918,-83.36441,GA
2014a51a-b405-4d49-a3b4-a22a9844ac5f,31.959812,-83.746752,GA
32188e16-75ce-477c-b671-a22f8606b139,34.687265,-85.000154,GA
338601ce-8529-4ee1-a478-3284d6901206,34.272701,-84.807736,GA
33e41d22-1dac-425b-a17d-c9b6affcda21,33.205898,-84.058286,GA
38139280-d79e-4c84-8807-5831c72095a7,31.138574,-83.444919,GA
3fc244ee-a2a6-43b8-acd4-5befc8bc2d20,33.07038,-83.97336,GA
44f54856-9261-45bc-94e9-26d12134b6f3,34.272701,-84.807736,GA
46c70f80-8582-44d1-a7b6-ea9423392fea,35.8731,-84.2379,TN
4c23e030-e4d3-473c-a3b8-cfafc1599bc4,33.208091,-84.05852,GA
4e8c0e97-4aab-4853-8e43-904eacb3b0a9,34.55883,-84.935611,GA
4e95994e-db22-4b01-9b6e-0af55d277eec,35.8807,-84.2359,TN
55f53612-5494-460b-9ee1-2ac92f154285,31.428514,-83.51632,GA
599cf7a7-eb06-4527-bcdb-69daa62e11c7,34.655613,-84.981043,GA
5adb811d-9b49-4829-a08f-75481f80a864,35.545167,-84.565514,TN
5cacc890-42ce-467d-a63b-3cc01d3b9c95,30.91807,-83.36566,GA
61744d1b-3abe-4aed-bbcc-775321a08d5b,32.612278,-83.744515,GA
6dbef08c-6306-4db2-bccf-5da49a0a2ac8,31.415715,-83.503054,GA
781f82b8-a9a0-4264-bebf-044a9aba151f,34.272701,-84.807736,GA
78e6f4ee-fc3b-4c79-8946-2f2bc602a54a,34.443856,-84.915181,GA
7ac0bc00-385a-48e5-875a-1576872a51f5,35.8731,-84.2379,TN
8a9e2301-b793-454f-85e6-c01e98b715c7,31.960264,-83.74661,GA
93653e22-f954-4d6b-acd8-9f547ce4b947,30.643997,-83.18766,GA
944a23e3-93b6-4f19-a43a-8879c89ae09a,31.427922,-83.517008,GA
9689ab8c-c937-4676-8fa4-de202ec699d7,34.558868,-84.935939,GA
96b417a9-ff26-480a-bdea-4ce572470bd7,30.641236,-83.190486,GA
a178c35e-73ba-4c23-bbe4-605dc4a365c4,34.576835,-84.946624,GA
a45b0906-ec99-4785-bfd6-afae328bc2aa,34.118857,-84.743165,GA
a732e380-3d35-43b5-916a-47198de64c3e,30.754267,-83.273221,GA
aa56235a-c422-4907-84f7-289e8ff3d204,33.206476,-84.058568,GA
bdbeb0cd-6935-4c31-b188-9465f1c1146a,33.207424,-84.064267,GA
c0c4681b-ae70-4873-8240-f1542361338e,32.717528,-83.733418,GA
c2bd3356-8933-46a5-9b08-0a520a585d2a,34.576411,-84.94715,GA
c67c7c6b-57f0-444f-9d3f-c6000ae1f51d,33.210567,-84.055973,GA
c8d0eb8c-df20-4bd7-89f2-038aa550c3ee,32.085408,-83.759891,GA
c944296e-5c8f-4346-9755-b470a9aafe77,33.208006,-84.064004,GA
e77e023a-8667-4f3a-ab4e-480cf280ff2d,30.641522,-83.189746,GA
ed2d89b5-609b-4e0e-91fa-bde1dbd93533,32.717528,-83.733418,GA
ee24eb2e-7055-4814-8772-dc0797965591,34.686835,-85.000111,GA
ef42e8a8-4ee1-4ece-a100-ba17bfe15200,32.612278,-83.744515,GA
f2f3cfb3-4d20-4954-8639-39c25dff014c,33.06914,-83.97361,GA
f6a155cc-c10c-455a-b854-a3643c00535d,30.754816,-83.272851,GA
ff5956ff-3364-46a8-b036-0c8c8a414ad0,31.415715,-83.503054,GA
